driver,order,hour,delivery_time,on_time,traffic_level,distance,driver_load,is_peak_hour,ai_routing
1,1,12,57.67,False,1,13.24,0,1,0
1,2,0,39.18,True,2,6.57,1,0,0
1,3,22,22.63,True,2,2.21,3,0,0
1,4,4,40.47,False,2,7.08,4,0,0
1,5,5,36.02,True,2,6.36,4,0,0
1,6,17,5.84,True,1,1.46,6,0,0
1,7,6,18.85,True,0,6.84,5,0,0
1,8,20,46.0,False,2,8.55,6,0,0
1,9,22,36.91,True,2,5.5,11,0,0
1,10,21,27.91,True,2,2.6,11,0,0
1,11,15,29.35,True,1,7.74,11,0,0
1,12,3,44.48,False,2,8.3,13,0,0
1,13,14,36.41,True,1,10.31,10,0,0
1,14,11,11.44,True,0,3.61,12,0,0
1,15,24,40.73,False,2,7.5,19,0,0
1,16,10,6.96,True,0,1.54,19,0,0
1,17,10,11.14,True,0,1.32,15,0,0
1,18,12,29.21,True,1,6.91,19,1,0
1,19,5,39.83,True,2,8.06,14,0,0
1,20,7,19.38,True,0,5.06,21,0,0
1,21,4,24.47,True,2,2.96,20,0,0
1,22,16,43.16,False,1,11.18,26,0,0
1,23,14,31.27,True,1,6.25,22,0,0
1,24,20,43.41,False,2,6.47,29,0,0
1,25,5,61.05,False,2,13.28,20,0,0
1,26,14,48.6,False,1,13.01,29,0,0
1,27,4,28.01,True,2,1.86,19,0,0
1,28,10,13.19,True,0,1.27,31,0,0
1,29,12,53.75,False,1,12.24,26,1,0
1,30,5,37.2,True,2,4.95,37,0,0
1,31,13,32.59,True,1,4.89,27,1,0
1,32,9,44.15,False,0,12.44,40,0,0
1,33,16,17.43,True,1,2.76,25,0,0
1,34,7,45.4,False,0,13.82,26,0,0
1,35,2,46.5,False,2,8.92,25,0,0
1,36,3,47.48,False,2,9.78,28,0,0
1,37,18,47.79,False,2,5.99,42,1,0
1,38,21,27.14,True,2,1.67,39,0,0
1,39,18,73.33,False,2,14.06,50,1,0
1,40,2,39.38,True,2,5.68,36,0,0
1,41,13,49.73,False,1,9.25,52,1,0
1,42,13,56.11,False,1,10.29,38,1,0
1,43,17,56.83,False,1,13.13,54,0,0
1,44,13,30.81,True,1,3.16,39,1,0
1,45,24,38.72,True,2,4.88,52,0,0
1,46,11,23.68,True,0,5.03,47,0,0
1,47,0,36.28,True,2,2.16,50,0,0
1,48,14,31.06,True,1,5.1,49,0,0
1,49,16,43.37,False,1,11.09,38,0,0
1,50,8,48.28,False,0,14.32,41,0,0
1,51,20,37.54,True,2,4.66,57,0,0
1,52,16,44.59,False,1,9.17,48,0,0
1,53,7,41.88,False,0,9.81,64,0,0
1,54,23,62.45,False,2,11.77,60,0,0
1,55,8,15.75,True,0,2.63,65,0,0
1,56,6,17.02,True,0,2.1,41,0,0
1,57,21,34.56,True,2,2.04,70,0,0
1,58,2,56.03,False,2,10.56,61,0,0
1,59,2,47.03,False,2,6.64,69,0,0
1,60,6,36.31,True,0,6.95,69,0,0
1,61,0,50.65,False,2,7.88,48,0,0
1,62,20,41.37,False,2,3.7,79,0,0
1,63,19,50.74,False,2,4.99,66,1,0
1,64,21,39.88,True,2,4.53,69,0,0
1,65,9,51.44,False,0,12.67,66,0,0
1,66,1,67.0,False,2,12.22,52,0,0
1,67,2,69.21,False,2,14.3,59,0,0
1,68,18,77.24,False,2,13.78,72,1,0
1,69,20,31.51,True,2,1.8,49,0,0
1,70,22,41.81,False,2,3.38,82,0,0
1,71,18,79.83,False,2,13.24,86,1,0
1,72,14,38.79,True,1,6.54,59,0,0
1,73,11,42.33,False,0,6.36,90,0,0
1,74,1,47.95,False,2,4.88,78,0,0
1,75,10,39.81,True,0,10.23,53,0,0
1,76,17,27.29,True,1,3.69,54,0,0
1,77,8,25.39,True,0,4.75,64,0,0
1,78,4,62.61,False,2,11.39,63,0,0
1,79,13,45.42,False,1,5.17,80,1,0
1,80,10,41.21,False,0,8.08,83,0,0
1,81,12,58.18,False,1,9.58,58,1,0
1,82,8,49.26,False,0,10.21,71,0,0
1,83,3,34.61,True,2,2.01,87,0,0
1,84,5,52.19,False,2,9.53,58,0,0
1,85,14,64.94,False,1,14.38,59,0,0
1,86,11,21.7,True,0,2.16,88,0,0
1,87,3,35.51,True,2,1.75,84,0,0
1,88,19,73.41,False,2,11.3,81,1,0
1,89,7,30.92,True,0,3.01,85,0,0
1,90,14,31.66,True,1,3.74,83,0,0
1,91,6,59.89,False,0,13.03,70,0,0
1,92,14,51.13,False,1,6.48,103,0,0
1,93,10,59.99,False,0,14.55,77,0,0
