driver,order,hour,delivery_time,on_time,simulation
1,1,16,24.12,True,Sim2
1,2,14,12.78,True,Sim2
1,3,20,22.8,True,Sim2
1,4,4,21.98,True,Sim2
1,5,21,47.09,False,Sim2
1,6,14,35.09,True,Sim2
1,7,16,23.13,True,Sim2
1,8,9,25.38,True,Sim2
1,9,16,36.32,True,Sim2
1,10,8,31.55,True,Sim2
1,11,24,36.07,True,Sim2
1,12,11,28.22,True,Sim2
1,13,8,31.49,True,Sim2
1,14,3,26.94,True,Sim2
1,15,3,47.05,False,Sim2
2,1,0,36.5,True,Sim2
2,2,3,33.74,True,Sim2
2,3,6,37.94,True,Sim2
2,4,6,22.36,True,Sim2
2,5,14,44.44,False,Sim2
2,6,12,32.34,True,Sim2
2,7,3,33.63,True,Sim2
2,8,9,23.35,True,Sim2
2,9,19,39.08,True,Sim2
2,10,0,40.05,False,Sim2
2,11,10,34.78,True,Sim2
2,12,23,19.22,True,Sim2
2,13,2,39.38,True,Sim2
2,14,16,25.02,True,Sim2
2,15,22,27.11,True,Sim2
3,1,13,23.85,True,Sim2
3,2,20,24.85,True,Sim2
3,3,17,26.54,True,Sim2
3,4,22,39.4,True,Sim2
3,5,12,31.72,True,Sim2
3,6,18,25.63,True,Sim2
3,7,23,30.06,True,Sim2
3,8,2,31.04,True,Sim2
3,9,8,31.66,True,Sim2
3,10,12,31.81,True,Sim2
3,11,18,27.47,True,Sim2
3,12,4,28.12,True,Sim2
3,13,20,27.44,True,Sim2
3,14,0,28.66,True,Sim2
3,15,12,19.37,True,Sim2
4,1,12,42.5,False,Sim2
4,2,18,41.61,False,Sim2
4,3,0,28.74,True,Sim2
4,4,0,18.22,True,Sim2
4,5,14,18.25,True,Sim2
4,6,20,31.89,True,Sim2
4,7,19,45.68,False,Sim2
4,8,2,29.13,True,Sim2
4,9,15,21.06,True,Sim2
4,10,13,17.2,True,Sim2
4,11,6,30.63,True,Sim2
4,12,9,31.08,True,Sim2
4,13,2,29.08,True,Sim2
4,14,21,27.44,True,Sim2
4,15,12,32.98,True,Sim2
5,1,5,28.74,True,Sim2
5,2,15,16.66,True,Sim2
5,3,4,33.55,True,Sim2
5,4,11,26.11,True,Sim2
5,5,22,41.76,False,Sim2
5,6,2,34.62,True,Sim2
5,7,19,38.01,True,Sim2
5,8,22,17.41,True,Sim2
5,9,1,39.15,True,Sim2
5,10,13,28.48,True,Sim2
5,11,11,20.68,True,Sim2
5,12,21,21.75,True,Sim2
5,13,15,33.71,True,Sim2
5,14,10,24.31,True,Sim2
5,15,18,37.88,True,Sim2
6,1,3,52.69,False,Sim2
6,2,16,32.75,True,Sim2
6,3,13,24.27,True,Sim2
6,4,5,23.37,True,Sim2
6,5,18,27.9,True,Sim2
6,6,8,38.75,True,Sim2
6,7,9,22.31,True,Sim2
6,8,10,22.7,True,Sim2
6,9,16,34.65,True,Sim2
6,10,22,24.86,True,Sim2
6,11,1,29.34,True,Sim2
6,12,3,36.98,True,Sim2
6,13,20,38.48,True,Sim2
6,14,12,22.89,True,Sim2
6,15,13,30.39,True,Sim2
7,1,18,26.61,True,Sim2
7,2,19,23.0,True,Sim2
7,3,12,37.94,True,Sim2
7,4,11,36.17,True,Sim2
7,5,1,37.02,True,Sim2
7,6,11,14.15,True,Sim2
7,7,13,17.99,True,Sim2
7,8,11,35.38,True,Sim2
7,9,18,24.73,True,Sim2
7,10,12,35.98,True,Sim2
7,11,17,45.98,False,Sim2
7,12,17,16.37,True,Sim2
7,13,6,27.38,True,Sim2
7,14,9,32.11,True,Sim2
7,15,6,17.46,True,Sim2
8,1,5,35.72,True,Sim2
8,2,15,29.12,True,Sim2
8,3,4,26.63,True,Sim2
8,4,1,23.32,True,Sim2
8,5,14,22.94,True,Sim2
8,6,18,35.16,True,Sim2
8,7,10,26.47,True,Sim2
8,8,14,21.62,True,Sim2
8,9,10,21.79,True,Sim2
8,10,0,37.67,True,Sim2
8,11,7,26.29,True,Sim2
8,12,12,31.96,True,Sim2
8,13,22,31.65,True,Sim2
8,14,14,36.3,True,Sim2
8,15,16,27.79,True,Sim2
9,1,18,34.18,True,Sim2
9,2,2,15.23,True,Sim2
9,3,4,24.76,True,Sim2
9,4,5,28.51,True,Sim2
9,5,5,43.02,False,Sim2
9,6,23,18.93,True,Sim2
9,7,20,19.1,True,Sim2
9,8,2,32.0,True,Sim2
9,9,22,34.74,True,Sim2
9,10,16,40.83,False,Sim2
9,11,7,29.56,True,Sim2
9,12,22,26.46,True,Sim2
9,13,5,31.28,True,Sim2
9,14,11,21.17,True,Sim2
9,15,9,27.3,True,Sim2
10,1,20,45.67,False,Sim2
10,2,23,28.5,True,Sim2
10,3,18,23.33,True,Sim2
10,4,20,36.9,True,Sim2
10,5,2,22.23,True,Sim2
10,6,2,32.21,True,Sim2
10,7,12,12.78,True,Sim2
10,8,19,36.43,True,Sim2
10,9,2,31.16,True,Sim2
10,10,16,25.9,True,Sim2
10,11,13,41.76,False,Sim2
10,12,16,27.34,True,Sim2
10,13,8,19.03,True,Sim2
10,14,14,33.32,True,Sim2
10,15,2,33.55,True,Sim2
