driver,order,hour,delivery_time,on_time,traffic_level,distance,driver_load,is_peak_hour,ai_routing
1,1,6,10.61,True,0,3.83,1,0,1
1,2,15,39.83,True,1,10.76,2,0,1
1,3,5,12.97,True,2,2.23,2,0,1
1,4,22,55.27,False,2,14.82,3,0,1
1,5,3,16.19,True,2,2.05,4,0,1
1,6,5,10.49,True,2,2.04,5,0,1
1,7,6,20.47,True,0,6.41,9,0,1
1,8,24,50.46,False,2,13.24,6,0,1
1,9,11,36.68,True,0,12.12,9,0,1
1,10,4,48.35,False,2,12.28,8,0,1
1,11,17,44.42,False,1,13.58,13,0,1
1,12,6,5.37,True,0,1.68,11,0,1
1,13,20,31.24,True,2,7.06,12,0,1
1,14,21,48.59,False,2,11.07,17,0,1
1,15,12,21.76,True,1,3.05,11,1,1
1,16,4,46.24,False,2,11.77,14,0,1
1,17,21,50.11,False,2,13.29,12,0,1
1,18,22,53.68,False,2,12.97,16,0,1
1,19,15,45.9,False,1,13.13,23,0,1
1,20,20,48.56,False,2,13.84,21,0,1
1,21,22,24.7,True,2,4.35,22,0,1
1,22,14,50.44,False,1,12.54,22,0,1
1,23,23,49.16,False,2,11.73,26,0,1
1,24,12,58.84,False,1,13.17,25,1,1
1,25,7,20.43,True,0,4.19,19,0,1
1,26,13,35.97,True,1,7.06,22,1,1
1,27,4,28.9,True,2,5.98,21,0,1
1,28,21,24.17,True,2,4.96,29,0,1
1,29,7,12.92,True,0,2.71,32,0,1
1,30,21,29.75,True,2,6.44,31,0,1
1,31,13,29.03,True,1,3.88,36,1,1
1,32,2,28.55,True,2,5.1,26,0,1
1,33,24,60.55,False,2,12.74,34,0,1
1,34,21,41.27,False,2,7.73,30,0,1
1,35,8,16.1,True,0,3.4,44,0,1
1,36,2,38.67,True,2,8.22,39,0,1
1,37,14,46.82,False,1,13.32,44,0,1
1,38,14,31.63,True,1,6.11,41,0,1
1,39,8,12.21,True,0,2.77,30,0,1
1,40,9,45.68,False,0,12.61,46,0,1
1,41,11,29.38,True,0,8.98,38,0,1
1,42,21,43.34,False,2,8.47,36,0,1
1,43,11,30.33,True,0,7.14,37,0,1
1,44,3,62.03,False,2,13.95,45,0,1
1,45,11,38.4,True,0,8.87,53,0,1
1,46,10,26.64,True,0,3.7,57,0,1
1,47,23,26.29,True,2,3.71,53,0,1
1,48,10,16.02,True,0,1.64,54,0,1
1,49,1,25.62,True,2,3.85,36,0,1
1,50,9,33.7,True,0,8.07,63,0,1
1,51,15,37.57,True,1,8.35,57,0,1
1,52,3,54.41,False,2,11.24,51,0,1
1,53,10,45.15,False,0,12.65,58,0,1
1,54,10,34.99,True,0,8.98,40,0,1
1,55,14,37.53,True,1,7.45,63,0,1
1,56,24,23.56,True,2,2.65,59,0,1
1,57,24,55.64,False,2,12.74,67,0,1
1,58,20,40.7,False,2,7.06,63,0,1
1,59,0,52.42,False,2,11.24,61,0,1
1,60,16,52.66,False,1,13.32,50,0,1
1,61,24,60.52,False,2,13.29,54,0,1
1,62,24,49.14,False,2,12.46,46,0,1
1,63,19,30.14,True,2,2.12,75,1,1
1,64,2,61.6,False,2,12.94,56,0,1
1,65,6,40.4,False,0,9.47,73,0,1
1,66,6,56.9,False,0,14.74,73,0,1
1,67,22,56.33,False,2,11.72,67,0,1
1,68,1,41.19,False,2,5.93,79,0,1
